Name,Real name,Aliases,Universe,Alignment,Gender,Affiliations,Relatives,Creators,First appearance,Year
Juneday,Juneday,,Valiant Entertainment,Good,Female,The Burnt,Burnt King (father),Matt KindtDoug Braithwaite,"X-O Manowar (Volume 4) #4(June, 2017)",2017
K-2,Unknown,K-2,Valiant Entertainment,Bad,Male,MI-6Coalition,,Christos GageJuan Jose Ryp,"Ninja-K #6(April, 2017)",2017
Kalam,Kalam,,Valiant Entertainment,Good,Male,,Gilad (Father)Janna (Mother),Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #1 (November, 2015)",2015
Kalfus Triplets,Kalfus Triplets,,Valiant Entertainment,Bad,Male,Harbinger Foundation,,Joshua DysartMico Suayan,"Harbinger (Volume 2) #0(February, 2013)",2013
Kalidasa,K\u0101lid\u0101sa,,Real WorldValiant Entertainment,Neutral,Male,,,,"X-O Manowar (Volume 4) #16(June, 2018)",2018
Kannon,Kannon,,Valiant Entertainment,Bad,Male,Shadow SevenWeaponeer,,Matt KindtClay Mann,"Ninjak (Volume 3) #1 (March, 2015)",2015
Kara Murphy,Kara Murphy,,Valiant Entertainment,Good,Female,,Tommy Murphy (brother),Duane SwierczynskiManuel Garcia,"Bloodshot (Volume 3) #2 (August, 2012)",2012
Geomancer,Karana,Geo,Valiant Entertainment,Good,Female,"GeomancersGilad, the Eternal Warrior",,Matt KindtClayton Crain,"Rai (Volume 3) #7 (February, 2015)",2015
Katherine Zygos,Katherine Zygos,,Valiant Entertainment,Good,Female,Generation Zero,James Zygos (twin brother),Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #1(April, 2013)",2013
Katrina Tor,Katrina Tor,KT,Valiant Entertainment,Good,Female,Navy (initially)Project Rising Spirit (formerly)Chainsaw (formerly),,Eric Heisserer (movie)Jeff Wadlow (movie)Tim Seeley (comics)Jason Masters (comics),"Movie: Bloodshot(March, 2020)Comics: Valiant: The Year of Heroes FCBD 2020 Special (July, 2020)",2020
Kavi,Kavi,Kavi the Bard,Valiant Entertainment,Neutral,Male,Unity,,Tini HowardAmilcar Pinna,"The Forgotten Queen  #2(March, 2019)",2019
Deathmate,Kay McHenry,DeathmateGeomancer (formerly),Valiant Entertainment,Neutral,Female,,Buck McHenry (great grand-uncle),Fred Van LenteEmanuela Lupacchino,"Archer & Armstrong (Volume 2) #6 (December, 2012)",2012
Kaylee,Kaylee (Last name unknown),Sister Kaylee,Valiant Entertainment,Neutral,Female,Mary-Maria,,Rafer Roberts,"A&A: The Adventures of Archer & Armstrong #1 (March, 2016)",2016
Kazmir,Kazmir,,Valiant Entertainment,Bad,Male,Vladimir PutinSoviet Union,,Matt KindtTrevor Hairsine,"Divinity #3 (April, 2015)",2015
Keeper,Unknown,Madame,Valiant Entertainment,Neutral,Female,Future-Light,,Matt KindtTrevor Hairsine,"Eternity  #1 (October, 2017)",2017
Keisha Hawkins,Keisha Hawkins,,Valiant Entertainment,Good,Female,,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #5(March, 2013)",2013
Keisha Sherman,Keisha Sherman,,Valiant Entertainment,Good,Female,Generation Zero,Keith Sherman (Father)Kwame Sherman (Brother),Fred Van LenteFrancis Portela,"Generation Zero  #1(August, 2016)",2016
Keith,Keith,,Valiant Entertainment,Neutral,Male,The Company Men,,Daniel KibblesmithKano,"Quantum and Woody (Volume 3) #1 (December, 2017)",2017
Kevin Sauvage,Kevin Sauvage,Savage,Valiant Entertainment,Neutral,Male,,"Veronica Sauvage \ (wife)Henry Sauvage (son)Kevin Sauvage, Jr. (son)Unnamed child #3",B. Clay MooreClayton HenryLewis LaRosa,"Savage  #1(November, 2016)",2016
Khutulun,Khutulun,AigiarneAiyurugAy YaruqKhotol Tsagaan,Real WorldValiant Entertainment,Neutral,Female,Mongol Empire,,,"The Forgotten Queen  #1(February, 2019)",2019
Kial'lee,Kial'lee,,Valiant Entertainment,Good,Female,The Vine,,Joshua Dysart,"Imperium  #12(January, 2016)",2016
Kid Tesla,"Nikolai ""Nicky"" Tesla-Greenblatt III",Kid Tesla,Valiant Entertainment,Bad,Male,,,Daniel KibblesmithKano,"Quantum and Woody (Volume 3) #4 (March, 2018)",2018
King Bear,King Bear,,Valiant Entertainment,Neutral,Male,Alice and Mister Rabbit (TV show),,Marguerite SauvageFrancis Portela,"Faith's Winter Wonderland Special  #1 (December, 2017)",2017
Klara,Unknown,,Valiant Entertainment,Good,Female,,Jay Spencer (Boyfriend),Jody Houser,"Faith (Volume 2) #1 (July, 2016)",2016
Ko,Ko,,Valiant Entertainment,Good,Male,,Gilad (Father),Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #1 (November, 2015)",2015
Komandar Bloodshot,Komandar Bloodshot,Bloodshot,Valiant Entertainment,Bad,Male,Politburo of the Soviet Union,,Matt KindtTrevor Hairsine,"Divinity II  #2(May, 2016)",2016
Kostiy the Deathless,Kostiy,General Kostiy,Valiant Entertainment,Bad,Female,Red BrigadeCoalition,,Matt KindtTrevor Hairsine,"Divinity III: Stalinverse  #1(December, 2016)",2016
Krakor,Krakor,,Valiant Entertainment,Bad,Male,Sky Bolts,,Matt KindtTrevor Hairsine,"Eternity  #2 (November, 2017)",2017
Kris Hathaway,Kristine Hathaway,,Valiant Entertainment,Good,Female,The Renegades,Mrs. Hathaway (Mother)Nick Hathaway (Father)Tamara (Girlfriend),Jim Shooter (original)David Lapham (original)Joshua Dysart (reboot)Khari Evans (reboot),"Original: Harbinger  #1 (January, 1992)Reboot: Harbinger (Volume 2) #1 (June, 2012)",2012
Kristen Cooper,Dr. Kristen Cooper,,Valiant Entertainment,Neutral,Female,Woody Henderson (patient),,Eliot RahalFrancis Portela,"Quantum and Woody (Volume 3) #7 (June, 2018)",2018
KT,K. T. (initials; full name unknown)Karina Tor (novelization only),KT,Valiant Cinematic Universe,Good,Female,U.S. Navy (formerly)Rising Spirit Technologies (formerly),,Eric HeissererJeff Wadlow,"Bloodshot(March, 2020)",2020
Kurt Cobain,Kurt Donald Cobain,Kurt Cobain,Real WorldValiant Entertainment,Good,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Kwame Sherman,Kwame Sherman,,Valiant Entertainment,Good,Female,Generation Zero,Keith Sherman (Father)Keisha Sherman (Sister),Fred Van LenteFrancis Portela,"Generation Zero  #1(August, 2016)",2016
La Barbe,La Barbe,The Barbe,Valiant Entertainment,Bad,Male,Shadow SevenWeaponeer,,Matt KindtClay Mann,"Ninjak (Volume 3) #4 (June, 2015)",2015
Lady Bertilak,Lady Bertilak,,Real WorldValiant Entertainment,Neutral,Female,,Lord Bertilak (husband),Fred Van LenteCary Nord,"Immortal Brothers: The Tale of the Green Knight #1 (April, 2017)",2017
Lady Deadside,Unknown,Lady Deadside,Valiant Entertainment,Bad,Female,The Blight,,Cullen BunnJon Davis-Hunt,"Shadowman (Volume 6) #1 (April, 2021)",2021
Lance Stet,Lance Stet,,Valiant Entertainment,Bad,Male,The Processors,,Matt KindtKenneth Rocafort,"X-O Manowar (Volume 4) #13(March, 2018)",2018
The Last Enemy,,Immortal Enemy,Valiant Entertainment,Bad,Male,The NullThe Sect,,Fred Van LenteEmanuela Lupacchino,"Archer & Armstrong (Volume 2) #8(March, 2013)",2013
Law,Unknown,,Valiant Entertainment,Bad,Female,Harbinger Foundation,,Joshua DysartRafa Sandoval,"Harbinger: Omegas  #1(July, 2014)",2014
Leena,Leena,,Valiant Entertainment,Good,Female,,Gilad (Husband),Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #1 (November, 2015)",2015
Lela,Peris,"328, Lay",Valiant Entertainment,Good,Female,,,JJ O\u2019ConnorBrian BuccellatoManuel Garcia,"Armorclads #1(March, 2022)",2022
Leland Paige,Leland Paige,,Valiant Entertainment,Bad,Male,Brethren,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #4(February, 2013)",2013
Lemur,Lemur,,Valiant Entertainment,Good,Male,Rai X,,Matt KindtClayton Crain,"Rai (Volume 3) #10(September, 2015)",2015
Leo Bern,Leo Bern,,Valiant Entertainment,Good,Male,,,Jen Van MeterRoberto de la Torre,"The Death-Defying Doctor Mirage  #1 (September, 2014)",2014
Director Carter,Leopold Carter,,Valiant Entertainment,Bad,Male,Project Rising Spirit,,Joshua DysartTrevor Hairsine,"Harbinger (Volume 2) #11(April, 2013)",2013
Shadowman,Leroy Boniface,,Valiant Entertainment,Neutral,Male,Abettors,Marius Boniface (grandfather)Maxim Boniface (descendant)Josiah Boniface (descendant)Jack Boniface (descendant),Peter MilliganRoberto de la Torre,"Shadowman (Volume 4) #14(January, 2014)",2014
Li Hwen Mirage,Li Hwen Mirage,Doctor Mirage,Valiant Entertainment,Good,Male,Shan Fong (Wife),,Bob Layton (original)Bernard Chang (original)Jen Van Meter (reboot)Roberto de la Torre (reboot),"The Death-Defying Doctor Mirage  #2 (October, 2014)",2014
Librarian,Unrevealed,Librarian,Valiant Entertainment,Neutral,Male,Harbinger Foundation,,Joshua Dysart,"Harbinger (Volume 2) #3 (June, 2012)",2012
Lilt,Lilt,,Valiant Entertainment,Bad,Male,Armor Hunters,,Robert VendittiDoug Braithwaite,"X-O Manowar (Volume 3) #24(April, 2014)",2014
Linton March,Linton March,Agent BlackBlack Mask (of Justice),Valiant Entertainment,Neutral,Male,The Coalition,Vanessa March (Wife) \,Jen Van MeterRoberto de la Torre,"The Death-Defying Doctor Mirage  #1 (September, 2014)",2014
Lionel Devereaux,Lionel Devereaux,,Valiant Entertainment,Bad,Male,Brethren,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #2(December, 2012)",2012
Little Castle,Isiah (Last name unknown),,Valiant Entertainment,Good,Male,Generation Zero,,Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #1 (April, 2013)",2013
Livewire,Amanda McKee,,Valiant Entertainment,Good,Female,G.A.T.E.UnitySecret Weapons,,Joshua DysartKhari Evans,"Harbinger (Volume 2) #3(August, 2012)",2012
Lolli Altherr,Dr. Lolli Altherr,,Valiant Entertainment,Neutral,Female,,,Tini HowardAmilcar Pinna,"The Forgotten Queen  #1(February, 2019)",2019
Lord Ivros,Lord Ivros,,Valiant Entertainment,Bad,Male,,,Jen Van MeterRoberto de la Torre,"The Death-Defying Doctor Mirage  #2 (October, 2014)",2014
Lord Kensington,Lord Kensington,,Valiant Entertainment,Good,Male,MI-6,,Matt Kindt,"Ninjak (Volume 3) #6 (August, 2015)",2015
Lord Vine-99,Lord Vine-99,LV-99,Valiant Entertainment,Bad,Male,Harbinger FoundationThe Vine,,Joshua DysartDoug Braithwaite,"Imperium  #3(April, 2015)",2015
Lucia Alonzo,Lucia Alonzo,,Valiant Entertainment,Good,Female,,"Mother, Ines (younger sister), unnamed cousin (Mentioned only)",Eric HeissererRaul AllenPatricia Martin,"Secret Weapons (Volume 2) #2 (July, 2017)",2017
Lucy,Lucy Dusk,,Valiant Entertainment,Neutral,Female,Sons of the Last Flesh,,Tim SeeleyBrett Booth,"Bloodshot (Volume 4) #5(January, 2020)",2020
Lucy Van Chelton,Lucy Van Chelton,,Valiant Entertainment,Neutral,Female,,Rutherford Van Chelton (ex-husband)Woody Henderson (son),Daniel Kibblesmith,"Quantum and Woody (Volume 3) #1 (December, 2017)",2017
Lula Lee,Lula Lee,Spylocke (4002 A.D.),Valiant Entertainment,Good,Female,Rai X,,Matt KindtClayton Crain,"Rai (Volume 3) #1(May, 2014)",2014
Lula Lee,Lula Lee,Citrus-Head,Valiant Entertainment,Neutral,Male,Father,,Matt KindtClayton Crain,"Rai Plus Edition  #1(May, 2014)",2014
Doctor,Unknown,,Valiant Entertainment,Neutral,Male,M.E.R.O.G.A.T.E.,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #21(January, 2014)",2014
Mad Hat,Unknown,,Valiant Entertainment,Bad,Male,H.A.R.D. CorpsProject Rising Spirit,,Joshua Dysart,"Imperium  #5(June, 2015)",2015
Madame Charade,Unknown,Madame Charade,Valiant Entertainment,Bad,Female,,,Christos GageTomas Giorello,"Ninja-K #1(November, 2017)",2017
Fireseed,Mae Nealon,aMAEzing (Twitter account),Valiant Entertainment,Good,Female,Project Bizarre,Hanley Nealon (adopted father),Max BemisNathan Stockman,"Savage (Volume 2) #2(March, 2021)",2021
Maggie,Maggie (last name unknown),,Valiant Entertainment,Good,Female,Generation Zero,,Duane SwierczynskiMatthew Clark,"Bloodshot (Volume 3) #7(January, 2013)",2013
Magic,Unknown,Magic,Valiant Entertainment,Good,Female,,Ray Garrison (Boyfriend)Jessie (Daugther)Bloodhound (Pet)Daddy \ (Father),Jeff LemireMico Suayan,"Bloodshot Reborn #4(July, 2015)",2015
Mahmud,Mahmud (last name unknown),,Valiant Entertainment,Neutral,Male,,,Jim Shooter (original)Bob Layton (original)Barry Windsor-Smith (original)Fred Van Lente (reboot)Khari Evans (reboot),"Original: Archer & Armstrong  #0(July, 1992)Reboot: Archer & Armstrong (Volume 2) #15 (November, 2013)",2013
Major Dawes,Major Dawes,,Valiant Entertainment,Neutral,Male,United States MilitaryUnited Nations,,Robert VendittiClayton Henry,"4001 A.D.: X-O Manowar #1(May, 2016)",2016
Mak,Unknown,,Valiant Entertainment,Bad,Female,EggbreakersHarbinger Foundation,,Christos GageJoshua DysartEmanuela Lupacchino,"Bloodshot and H.A.R.D. Corps  #15 (October, 2013)",2013
Malgam,Malgam,Not-Malgam,Valiant Entertainment,Bad,Male,Armor Hunters,,Robert VendittiDiego Bernard,"X-O Manowar (Volume 3) #23(March, 2014)",2014
Maniac,Jan Chahosky,,Valiant Entertainment,Bad,Male,H.A.R.D. Corps,,Duane SwierczynskiJoshua DysartClayton Henry,"Harbinger Wars  #3 (June, 2013)",2013
Manny,Manny,Manny the Man'O'WarManny the Mascot,Valiant High,Good,Male,Valiant High,,Daniel KibblesmithDerek Charm,"Valiant High #1(February, 2017)",2017
Manticore,Manticore,,Valiant Entertainment,Neutral,Male,,,,"Wrath of the Eternal Warrior  #8 (June, 2016)",2016
Mapgiver,Unknown,Mapgiver,Valiant Entertainment,Neutral,Male,Visigoths,,Bob Layton (original)Jorge Gonzalez (original)Joe Quesada (original)Robert Venditti (reboot)Cary Nord (reboot),"Original: X-O Manowar  #0 (August, 1993)Reboot: X-O Manowar (Volume 3) #2 (June, 2012)",2012
Nana Herbert,Marcel Herbert,,Valiant Entertainment,Neutral,Female,,Faith Herbert (Granddaughter),Joshua DysartPere Perez,"Harbinger (Volume 2) #9(February, 2013)",2013
Marcie Archer,Marcie Archer,,Valiant Entertainment,Good,Female,,Charles Archer (Husband)Obadiah Archer (Son),Fred Van Lente,"Archer & Armstrong (Volume 2) #25 (October, 2014)",2014
Marco Polo,Marco Polo,,Real WorldValiant Entertainment,Neutral,Male,Unity,,,"The Forgotten Queen  #2(March, 2019)",2019
Tibbs,Marcus Tibbs,,Valiant Cinematic Universe,Neutral,Male,U.S. Military (formerly)Rising Spirit Technologies,,Eric HeissererJeff Wadlow,"Bloodshot(March, 2020)",2020
Marcy Finch,Marcy Finch,,Valiant Entertainment,Bad,Female,,Andrew Finch (husband)Nicole Finch (daughter),Eric Heisserer,"Secret Weapons (Volume 2) #0(January, 2018)",2018
Margaret King,Margaret King,Marge,Valiant Entertainment,Neutral,Female,MI-6,Mr. King (Husband)Colin King (Son),Matt Kindt,"Ninjak (Volume 3) #5(July, 2015)",2015
Marinette,Marinette,,Valiant Entertainment,Good,Female,Unity,,Matt Kindt,"Unity (Volume 2) #19(June, 2015)",2015
Shadowman,Marius Boniface,,Valiant Entertainment,Good,Male,,Sandria Darque (lover)Deceased babyLeroy Boniface (grandson)Maxim Boniface (descendant)Josiah Boniface (descendant)Jack Boniface (descendant),Justin JordanDiego BernardAndrea Cuneo,"Shadowman (Volume 4) #10(September, 2013)",2013
Martin Axe,Martin Axe,,Valiant Cinematic Universe,Bad,Male,Rising Spirit Technologies (formerly),,Eric HeissererJeff Wadlow,"Bloodshot(March, 2020)",2020
Martin Swain,Martin Swain,,Valiant Entertainment,Bad,Male,Brethren,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #4(February, 2013)",2013
Martin Tyus,Martin Tyus,,Valiant Entertainment,Good,Male,Secret Weapons,,Eric HeissererRaul AllenPatricia Martin,"Secret Weapons (Volume 2) #1(June, 2017)",2017
Mary Anger,Mary Anger,,Valiant Entertainment,Good,Female,Positrons,,Matt KindtCafu,"Rai (Volume 3) #14(June, 2016)",2016
Mary-Maria Archer,Mary-Maria Conchita Alonso Archer,Sister Superior,Valiant Entertainment,Good,Female,The Dominion (previously)The Sect (previously)Sisters of Perpetual Darkness (previously),Gia Azevedo (sister)Gwennie Azevedo (sister)Obadiah Archer (adopted brother)Berinaldo Azevedo (father)Joseph Archer (adopted father)Thelma Archer (adopted mother),Fred Van LenteClayton Henry,"Archer & Armstrong (Volume 2) #1 (August, 2012)",2012
Marybeth,Marybeth (last name unknown),,Valiant Entertainment,Neutral,Female,,,Cullen BunnRam\u00f3n F. Bachs,"Roku  #1(October, 2019)",2019
Master Darque,Nicodemo Darque [1],Master DarqueNicky (by his sister only),Valiant Entertainment,Bad,Male,,Sandria Darque (twin sister),Bob Hall (original)Yvel Guichet (original)Justin Jordan (reboot)Patrick Zircher (reboot),"Original: Shadowman  #8 (December, 1992)Reboot: Shadowman (Volume 4) #5 (March, 2013)",2013
Maw-Teth,Maw-Teth,,Valiant Entertainment,Bad,Male,The Processors,,Matt KindtKenneth Rocafort,"X-O Manowar (Volume 4) #10(December, 2017)",2017
Max,Unknown,,Valiant Entertainment,Good,Male,,Ana (Mother)Ignacio (Father)Iggy (Foster brother),Fred Van LenteTomas Giorello,"4001 A.D.: War Mother #1 (August, 2016)",2016
Shadowman,"Maxim ""Max"" Boniface",Shadowman,Valiant Entertainment,Good,Male,Abettors,Josiah Boniface \ (Grandson)Jack Boniface \ (Great grandson),Andy DiggleShawn MartinbroughStephen Segovia,"Shadowman (Volume 5) #4(June, 2018)",2018
Mayan Geomancer,Unknown,Mayan Geomancer,Valiant Entertainment,Good,Male,Geomancers,,Jeff LemireMatt KindtPaolo Rivera,"The Valiant #1(December, 2014)",2014
Mech Major,Mech Major,Sunlight on SnowS.O.S.,Valiant Entertainment,Good,Nonbinary,Harbinger Foundation,,Joshua DysartDoug Braithwaite,"Imperium  #1(March, 2015)",2015
Mech-Mamba,Mech-Mamba,,Valiant Entertainment,Bad,,,,Matt KindtClayton Crain,"Rai (Volume 3) #10(September, 2015)",2015
Melissa,Unknown,,Valiant Entertainment,Good,Female,,,Fred Van LenteClayton Henry,"Archer & Armstrong (Volume 2) #1 (August, 2012)",2012
Michael Sirot,Michael Sirot,,Valiant Entertainment,Good,Male,ArmorinesU.S. Military,,Jorge Gonzalez (original)Jim Calafiore (original)Robert Venditti (reboot)Robert Gill (reboot),"Original: X-O Manowar  #19 (August, 1993)Reboot: X-O Manowar (Volume 3) #43 (January, 2016)",2016
Michelangelo,Michelangelo di Lodovico Buonarroti Simoni,"Michelangelo""Mikey"" (by Armstrong)",Real WorldValiant Entertainment,Good,Male,,,,"X-O Manowar (Volume 3) #4(August, 2012)",2012
Miley,Miley (Last name unknown),Sister Miley,Valiant Entertainment,Neutral,Female,Mary-Maria,,Rafer Roberts,"A&A: The Adventures of Archer & Armstrong #1 (March, 2016)",2016
Millie Henderson,Millie Henderson,,Valiant Entertainment,Neutral,Female,,Eric Henderson (husband),Eliot RahalFrancis Portela,"Quantum and Woody (Volume 3) #7 (June, 2018)",2018
Mimi,Mimi (Full name unknown),,Valiant Entertainment,Good,Female,Zipline,,Jody Houser,"Faith #1 (January, 2016)",2016
Minister of Blades,Unknown,Minister of Blades,Valiant Entertainment,Bad,Male,,,Cullen BunnRam\u00f3n F. Bachs,"Roku  #2(November, 2019)",2019
Minoan Geomancer,Unknown,Minoan Geomancer,Valiant Entertainment,Good,Female,Geomancers,,Jeff LemireMatt KindtPaolo Rivera,"The Valiant #1(December, 2014)",2014
Mirror,Unknown,,Valiant Entertainment,Good,Male,Unity,,Matt Kindt,"Unity (Volume 2) #1(November, 2013)",2013
Miss Sixty-Nine,Number 69,Renee,Valiant Entertainment,Good,Female,E.R.A.Quantum and Woody,"The Crone (progenitor)Alejandra Cejudo (clone ""sister"")Negative One (clone ""sister"")",James AsmusTom Fowler,"Quantum and Woody (Volume 2) #4 (October, 2013)",2013
Mr. Dodge,Unknown,,Valiant Entertainment,Bad,Male,Project Rising Spirit,,Duane SwierczynskiManuel Garcia,"Bloodshot (Volume 3) #2(August, 2012)",2012
Mister Meat,Edward Meat,Mister E. MeatMeatstorm,Valiant Entertainment,Bad,Male,Mondostano Corporation,,James AsmusFred Van LenteKano,"The Delinquents  #1(August, 2014)",2014
Mister Tull,Unknown,Dull Tull,Valiant Entertainment,Bad,Male,Project Rising Spirit,,Joshua DysartKhari Evans,"Harbinger (Volume 2) #1(June, 2012)",2012
Mr. Twist,Mister Twist,Mr. Twist,Valiant Entertainment,Bad,Male,Master Darque,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #1(November, 2012)",2012
Mistress of the Prometheans,Neela Sethi,,Valiant Entertainment,Bad,Female,PrometheansThe Null,Neela Sethi (genetic template/temporal counterpart),Fred Van LenteClayton Henry,"Ivar, Timewalker #1(January, 2015)",2015
Moishe Gumpertz,Moishe Gumpertz,,Valiant Entertainment,Neutral,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #21 (June, 2014)",2014
Molly Thompson,Molly Thompson,Molly Lufkin,Valiant Entertainment,Neutral,Female,,,Christos GageTomas Giorello,"Ninja-K #2(December, 2017)",2017
Momo,Momo,,Valiant Entertainment,Good,Female,Positronic Minds (PTs),,Matt KindtClayton Crain,"Rai (Volume 3) #1(April, 2014)",2014
Mopp,Mopp,,Valiant Entertainment,Neutral,Male,Armor Hunters,,Robert VendittiDiego Bernard,"X-O Manowar (Volume 3) #25(May, 2014)",2014
Morgan le Fay,Morgan le Fay,,Real WorldValiant EntertainmentValiant Comics,Neutral,Female,King Arthur,,Fred Van LenteCary Nord,"Immortal Brothers: The Tale of the Green Knight #1 (April, 2017)",2017
Morris Kozol,Morris Kozol,,Valiant Entertainment,Bad,Male,Project Rising SpiritThe Sect (formerly),,Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #1(April, 2013)",2013
Moses,Moses,,Real WorldValiant Entertainment,Good,Male,,,,"Archer & Armstrong (Volume 2) #22 (July, 2014)",2014
Mother Nature,Voice of the Earth,,Valiant Entertainment,Good,Female,House of the Earth,,Fred Van LenteEmanuela Lupacchino,"Archer & Armstrong (Volume 2) #6 (December, 2012)",2012
Mr. Din,Mr. Din,,Valiant Entertainment,Neutral,Male,The Dying One,,Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #4 (February, 2016)",2016
Mr. King,Unknown,,Valiant Entertainment,Neutral,Male,MI-6,Margaret King (Wife)Colin King (Adopted son),Matt Kindt,"Ninjak (Volume 3) #5(July, 2015)",2015
Mrs. Harada,Unknown,,Valiant Entertainment,Neutral,Female,,Toshiro Harada \ (husband)Toyo Harada (son),Joshua DysartMico Suayan,"Harbinger (Volume 2) #0(February, 2013)",2013
Mrs. Henderson,Mrs. Henderson,,Valiant Entertainment,Good,Female,,Derek Henderson (son)Eric Henderson (grandson),Daniel KibblesmithFrancis Portela,"Quantum and Woody (Volume 3) #3 (February, 2018)",2018
Ms. Mienai,Ms. Mienai,,Valiant Entertainment,Neutral,Female,The Burned,,Tim SeeleyBrett Booth,"Bloodshot (Volume 4) #4(December, 2019)",2019
Murder Mouse,Jeff (Last name unknown),MM,Valiant Entertainment,Bad,Male,The Faithless,,Jody HouserPere Perez,"Faith (Volume 2) #3(September, 2016)",2016
Murial Devlin,Murial Catherine Devlin,,Valiant Entertainment,Good,Female,,Frank Devlin \ (husband),Rafer RobertsDavid Lafuente,"A&A: The Adventures of Archer & Armstrong  #2 (April, 2016)",2016
Myna,Varsha (last name unknown),Myna,Valiant Entertainment,Neutral,Female,,,Jeff ParkerJavier Pulido,"Ninjak (Volume 4) #1 (July, 2021)",2021
Myshka,Valentina Volkov,,Valiant Entertainment,Neutral,Female,Red Brigade,,Matt KindtTrevor Hairsine,"Divinity  #3 (April, 2015)",2015
Naked Lover of Wisdom,Unknown,Naked Lover of Wisdom,Valiant Entertainment,Neutral,Male,,,Joshua DysartKhari Evans,"Harbinger: Bleeding Monk #0(March, 2014)",2014
Napoleon,Napoleon Bonaparte,,Real WorldValiant Entertainment,Neutral,Male,France,,Fred Van Lente,"Archer & Armstrong (Volume 2) #22 July, 2014",2014
Geomancer,Nasi,,Valiant Entertainment,Good,Male,Geomancers,,Jeff LemireMatt KindtPaolo Rivera,"The Valiant #1(December, 2014)",2014
Needle,Needle,,Valiant Entertainment,Neutral,Female,The Fumes,,Matt KindtTrevor Hairsine,"Eternity  #2 (November, 2017)",2017
"Neela, Timewalker",Dr. Neela Sethi,TimewalkerMistress of the Prometheans,Valiant Entertainment,Good,Female,,Mistress of the Prometheans (clone/temporal counterpart),Fred Van LenteClayton Henry,"Ivar, Timewalker #1(January, 2015)",2015
Negative One,Number 63,Negative One,Valiant Entertainment,Neutral,Female,Kid Tesla (formerly)Edison's Radical Acquisitions (formerly),"Miss Sixty-Nine (clone ""sister"")Alejandra Cejudo (clone ""sister"")The Crone (clone ""mother"")",Daniel KibblesmithKano,"Quantum and Woody (Volume 3) #1 (December, 2017)",2017
Nemesis,Unknown,Nemesis,Valiant Entertainment,Neutral,Female,Stormbreakers,,Mark Waid (Original)Brian Augustyn (Original)Alejandro Arbona (Reboot)Jim Towe (Reboot),"Doctor Tomorrow (Volume 2) #1(February, 2020)",2020
Nergal,Nergal,Death Cult of Nergal,Valiant Entertainment,Bad,Male,,,Greg PakTrevor Hairsine,"Eternal Warrior (Volume 2) #3 (November, 2013)",2013
Nero,Nero,,Real WorldValiant Entertainment,Neutral,Male,Roman Empire,,,"Britannia  #1 September, 2016",2016
Neville Alcott,Neville Alcott,,Valiant Entertainment,Good,Male,MI-6,,Jim Shooter (original)John Dixon (original)Robert Venditti (reboot)Lee Garbett (reboot),"X-O Manowar (Volume 3) #8 (December, 2012)",2012
Nick Baris,Nick Baris,,Valiant Cinematic Universe,Bad,Male,Rising Spirit Technologies (formerly),,Eric HeissererJeff Wadlow,"Bloodshot(March, 2020)",2020
"Nicole ""Nikki"" Finch",Nicole Finch,Nikki,Valiant Entertainment,Good,Female,Secret Weapons,Andrew Finch (father)Marcy Finch (mother),Eric HeissererRaul AllenPatricia Martin,"Secret Weapons (Volume 2) #1(June, 2017)",2017
Director Nigel Cormac,Nigel Cormac,Director Cormac,Valiant Entertainment,Bad,Male,Project Rising Spirit,,Kevin GreviouxKen Lashley,"Bloodshot Rising Spirit  #1(November, 2018)",2018
Nil,Unknown,,Valiant Entertainment,Bad,Female,Lionel Devereaux,,Andy DiggleEric Battle,"Shadowman (Volume 5) #9(November, 2018)",2018
Ninja-A,Unknown,The Ninja (designated)Ninja-A (later),Valiant Entertainment,Neutral,Male,MI-6Ninja Programme,,Matt Kindt (Mentioned only)Clayton Henry (Design)Christos Gage (First App.)Tomas Giorello (First App.),"Ninja-K #1(November, 2017)",2017
Ninja-B,Unknown,,Valiant Entertainment,Neutral,Male,MI-6Ninja Programme,,Matt Kindt (Mentioned only)Christos Gage (First App.)Tomas Giorello (First App.),"Ninja-K #1(November, 2017)",2017
Ninja-C,Unknown,,Valiant Entertainment,Neutral,Male,MI-6Ninja Programme,,Matt Kindt (Mentioned only)Christos Gage (First App.)Tomas Giorello (First App.),"Ninjak (Volume 3) #0(September, 2017)",2017
